count,world_name,world_id,favorites,platforms,thumbnail,world_url,fetch_date
1,木片隅 - KiNook,wrld_7db73bca-3e6d-4985-9033-3bec4b8084d9,3479,"{'pc': True, 'android': True, 'ios': True}",木片隅 - KiNook_thumbnail.png,https://vrchat.com/home/world/wrld_7db73bca-3e6d-4985-9033-3bec4b8084d9,2025-12-15 00:26:39.358828+09:00
1,Frutiger Aero Landscape,wrld_3365ec24-6b19-41d4-9a63-d45adb0ede61,8744,"{'pc': True, 'android': True, 'ios': False}",Frutiger Aero Landscape_thumbnail.png,https://vrchat.com/home/world/wrld_3365ec24-6b19-41d4-9a63-d45adb0ede61,2025-12-15 00:26:38.281059+09:00
1,VMoVA,wrld_895f3f4b-832d-464b-b0a8-17f0be0f4097,86,"{'pc': True, 'android': False, 'ios': False}",VMoVA_thumbnail.png,https://vrchat.com/home/world/wrld_895f3f4b-832d-464b-b0a8-17f0be0f4097,2025-12-15 00:26:35.070594+09:00
1,ある［翻訳不可］からの脱出,wrld_9aa1f6ed-c804-47a3-9268-ca14d7912d1b,878,"{'pc': True, 'android': True, 'ios': False}",ある［翻訳不可］からの脱出_thumbnail.png,https://vrchat.com/home/world/wrld_9aa1f6ed-c804-47a3-9268-ca14d7912d1b,2025-12-15 00:26:33.971120+09:00
1,新・以心伝心バリューセットをつくろう！！,wrld_0fca2b4c-ff2f-4c9b-8f2c-7d63b3e2a4d2,2877,"{'pc': True, 'android': True, 'ios': False}",新・以心伝心バリューセットをつくろう！！_thumbnail.png,https://vrchat.com/home/world/wrld_0fca2b4c-ff2f-4c9b-8f2c-7d63b3e2a4d2,2025-12-15 00:26:32.913077+09:00
1,Last Departure,wrld_c1be400b-197b-4d32-825e-c785f112aab2,6090,"{'pc': True, 'android': True, 'ios': False}",Last Departure_thumbnail.png,https://vrchat.com/home/world/wrld_c1be400b-197b-4d32-825e-c785f112aab2,2025-12-15 00:26:31.860042+09:00
1,Data Breach,wrld_c0e36504-2c33-41c3-998f-2b64f54ce674,1287,"{'pc': True, 'android': False, 'ios': False}",Data Breach_thumbnail.png,https://vrchat.com/home/world/wrld_c0e36504-2c33-41c3-998f-2b64f54ce674,2025-12-15 00:26:30.810746+09:00
1,中国ミーム博物館 日本語版 Chinese memes museum Japanese ver,wrld_867a7613-893e-40c1-9b19-4527d74a0ff5,5746,"{'pc': True, 'android': False, 'ios': False}",中国ミーム博物館 日本語版 Chinese memes museum Japanese ver_thumbnail.png,https://vrchat.com/home/world/wrld_867a7613-893e-40c1-9b19-4527d74a0ff5,2025-12-15 00:26:29.740250+09:00
1,Soviet Train - Light Volumes 2․0,wrld_7227757c-bc35-44e1-a355-809240096999,708,"{'pc': True, 'android': False, 'ios': False}",Soviet Train - Light Volumes 2․0_thumbnail.png,https://vrchat.com/home/world/wrld_7227757c-bc35-44e1-a355-809240096999,2025-12-15 00:26:28.618461+09:00
1,Rooms,wrld_3676cf0a-048c-4f5a-9242-25bdfec3b438,2445,"{'pc': True, 'android': False, 'ios': False}",Rooms_thumbnail.png,https://vrchat.com/home/world/wrld_3676cf0a-048c-4f5a-9242-25bdfec3b438,2025-12-15 00:26:26.491472+09:00
1,フレンドやNPCのかわいそうな姿を肴にお酒を嗜む邪悪なチルワールド,wrld_10c4d825-e3cf-4834-9ec7-bb3739075a61,1143,"{'pc': True, 'android': False, 'ios': False}",フレンドやNPCのかわいそうな姿を肴にお酒を嗜む邪悪なチルワールド_thumbnail.png,https://vrchat.com/home/world/wrld_10c4d825-e3cf-4834-9ec7-bb3739075a61,2025-12-15 00:30:27.433847+09:00
1,MyAvatarGoods,wrld_6075be77-2fa3-44c2-8204-95905bb3fd53,6666,"{'pc': True, 'android': True, 'ios': False}",MyAvatarGoods_thumbnail.png,https://vrchat.com/home/world/wrld_6075be77-2fa3-44c2-8204-95905bb3fd53,2025-12-15 00:30:26.373711+09:00
1,Q․あの日の君を求めよ。,wrld_6ae8f53b-eec7-4a3b-ac13-0b264fbd096a,1109,"{'pc': True, 'android': False, 'ios': False}",Q․あの日の君を求めよ。_thumbnail.png,https://vrchat.com/home/world/wrld_6ae8f53b-eec7-4a3b-ac13-0b264fbd096a,2025-12-15 00:30:56.528739+09:00
1,ハイム荘 401号室,wrld_424e4033-db3d-4817-b081-8a16e41708c5,27699,"{'pc': True, 'android': True, 'ios': True}",ハイム荘 401号室_thumbnail.png,https://vrchat.com/home/world/wrld_424e4033-db3d-4817-b081-8a16e41708c5,2025-12-15 00:30:54.412165+09:00
1,Dew,wrld_0e476efb-330a-45df-89c8-d28bea253cc1,57,"{'pc': True, 'android': False, 'ios': False}",Dew_thumbnail.png,https://vrchat.com/home/world/wrld_0e476efb-330a-45df-89c8-d28bea253cc1,2025-12-15 00:30:53.355591+09:00
1,PEKO PEKO BATTLE 3,wrld_30aaf908-0853-4da0-825f-617f09e47bd5,2684,"{'pc': True, 'android': True, 'ios': False}",PEKO PEKO BATTLE 3_thumbnail.png,https://vrchat.com/home/world/wrld_30aaf908-0853-4da0-825f-617f09e47bd5,2025-12-15 00:30:51.227971+09:00
1,えせV感マッチング,wrld_86a9d58f-79a4-450a-b481-c34935aa7b7a,2390,"{'pc': True, 'android': False, 'ios': False}",えせV感マッチング_thumbnail.png,https://vrchat.com/home/world/wrld_86a9d58f-79a4-450a-b481-c34935aa7b7a,2025-12-15 00:30:50.171142+09:00
1,あの夏をもう一度,wrld_0aadea13-4219-4674-a9ac-9c4a41088103,1147,"{'pc': True, 'android': False, 'ios': False}",あの夏をもう一度_thumbnail.png,https://vrchat.com/home/world/wrld_0aadea13-4219-4674-a9ac-9c4a41088103,2025-12-15 00:30:49.120829+09:00
1,あの夏-ThatSummer-,wrld_3cf11718-30fc-4b55-820c-000a484b04e5,3027,"{'pc': True, 'android': False, 'ios': False}",あの夏-ThatSummer-_thumbnail.png,https://vrchat.com/home/world/wrld_3cf11718-30fc-4b55-820c-000a484b04e5,2025-12-15 00:30:45.879956+09:00
1,深夜の京都散歩 ⁄ Kyoto Midnight Walk,wrld_96869b23-1484-4a40-a17d-b7d29c0ee962,6436,"{'pc': True, 'android': True, 'ios': True}",深夜の京都散歩 ⁄ Kyoto Midnight Walk_thumbnail.png,https://vrchat.com/home/world/wrld_96869b23-1484-4a40-a17d-b7d29c0ee962,2025-12-15 00:30:44.810404+09:00
1,打上花火 × ParticleLive,wrld_b50028d5-e297-4543-a95b-63b46042090d,620,"{'pc': True, 'android': False, 'ios': False}",打上花火 × ParticleLive_thumbnail.png,https://vrchat.com/home/world/wrld_b50028d5-e297-4543-a95b-63b46042090d,2025-12-15 00:30:42.567197+09:00
1,落陽の帰り道 -The Road Home at Sunset-,wrld_250918f7-ffdc-4b38-ac1b-c65b3df90773,4777,"{'pc': True, 'android': True, 'ios': False}",落陽の帰り道 -The Road Home at Sunset-_thumbnail.png,https://vrchat.com/home/world/wrld_250918f7-ffdc-4b38-ac1b-c65b3df90773,2025-12-15 00:30:41.449518+09:00
1,8番マグロ,wrld_7f92b9b6-f609-45f9-b0e1-483f2e2f8d80,4597,"{'pc': True, 'android': True, 'ios': False}",8番マグロ_thumbnail.png,https://vrchat.com/home/world/wrld_7f92b9b6-f609-45f9-b0e1-483f2e2f8d80,2025-12-15 00:30:39.341953+09:00
1,ふろーずん・わーど！-凍るタイムラインの謎-⁄FrozenWord,wrld_9f00b76f-7b50-493b-b669-2636f3cf301c,845,"{'pc': True, 'android': True, 'ios': False}",ふろーずん・わーど！-凍るタイムラインの謎-⁄FrozenWord_thumbnail.png,https://vrchat.com/home/world/wrld_9f00b76f-7b50-493b-b669-2636f3cf301c,2025-12-15 00:30:38.288447+09:00
1,Prize Lounge,wrld_40f96cef-3477-46b5-955a-ae03bc46d09b,5769,"{'pc': True, 'android': False, 'ios': False}",Prize Lounge_thumbnail.png,https://vrchat.com/home/world/wrld_40f96cef-3477-46b5-955a-ae03bc46d09b,2025-12-15 00:30:37.238837+09:00
